id,profileName,text,date,title,rating,images,helpful,Size name,Colour
R3QJZRXUZ34TEV,Syed’s ,Open box diye sim tool nahi aa ya but phone mast aaya,Reviewed in India 🇮🇳 on 7 October 2022,Open box diye sim tool nahi aa ya but phone mast aaya,4,,2,256GB,Graphite
R3FKSLH5C25908,Prince Patel,"I first purchased iPhone 14 pro then I realized that it drains the battery quickly(Don't have any idea about 14 pro max). Then I sell this phone to the store. Luckily due to the high demand for iPhone 14 pro, I could sell at the same price. Then I purchased 13 pro max. It has been 1 week and I found battery backup is very good. No doubt about other features of the iPhone.",Reviewed in India 🇮🇳 on 27 September 2022,Best battery life,5,,6,256GB,Graphite
R3NS7OC5V6HBZL,san,Product is nice but the seal was broken from seller side,Reviewed in India 🇮🇳 on 23 September 2022,Love it,4,,12,256GB,Graphite
RNAYRR79O4N0U,Hafeez,The mobile was already unboxed.I didn't think that the mobile would get unboxed already.,Reviewed in India 🇮🇳 on 9 October 2022,Very,5,,2,,
R7V16HPSYMIZI,Placeholder,"Worth every penny.The photos on this device are awesome, performance is next level.",Reviewed in India 🇮🇳 on 4 October 2022,Beast,5,,1,256GB,Graphite
RGO99KML5MBHJ,DR.SHIVA,"Ive been using android since 10 yrs recently converted to ios & im loving it it makes u even RESPONSIBLE coz its 1 lakh + so worthy , beasty, classy",Reviewed in India 🇮🇳 on 3 October 2022,Ofcourse its apple worth every penny,5,https://m.media-amazon.com/images/I/61G48H7BSDL.jpg,3,,
RQIL10YT1KWXK,Kanchan Rana,Thank you Amazon for sending me this amazing thing,Reviewed in India 🇮🇳 on 6 October 2022,Thank you amazon,5,,0,,
R2GM7XS9B99X61,Vijay,Best product,Reviewed in India 🇮🇳 on 6 October 2022,Best,5,,0,,
R3NSGFXMN1T0VN,Shashank,Pro phone .. battery life is almost a day. Camera is great as always. iPhone is iPhone .,Reviewed in India 🇮🇳 on 30 September 2022,So pro,5,,3,,
RZ0FRFPP6F2XT,AMRENDRA KUMAR,Nice and expensive,Reviewed in India 🇮🇳 on 27 September 2022,Nice,5,,0,,
R1S073LUKCDZWE,Vineeth Gopal,Everyone knows that iphone security is  better than others...But Camera is not better than Samsung S22 Ultra ...S22 ultra is with 100x Zoom but iphone 13 pro Max is with 20x zoom maximum....,Reviewed in India 🇮🇳 on 3 September 2022,Superb but......,4,https://m.media-amazon.com/images/I/61XrRRwePWL.jpg,60,,
R1EEQ5EW13CBYQ,Saradhi Naidu,Extremely good,Reviewed in India 🇮🇳 on 2 October 2022,Mind blowing,5,,0,128GB,Graphite
R3LXCA6S7ZL4KY,Prashant ,Totally worth it💯,Reviewed in India 🇮🇳 on 2 October 2022,Worth it💯,5,https://m.media-amazon.com/images/I/61mNlsagb7L.jpg,2,128GB,Graphite
RQ8UKQT8ZUZ5A,Amol Lohar,Fantastic mobile but over priced,Reviewed in India 🇮🇳 on 8 September 2022,"Jarurat ho to hi lo, bs bgmi 90 fps and 4k video, es liye acha hai",4,,17,,
RWI38O365DHMC,Ajay Yadav,Nice products,Reviewed in India 🇮🇳 on 3 September 2022,Very good,4,,9,128GB,Graphite
RU300RKHU9AW4,Ayush Kamboj,"Switched from Android to iPhone. Here are my pros and cons.Pros:1) The battery life on the Pro Max is just excellent. No android with even a 6000 Mah can beat it, it is that well optimised.2) The camera as you can guess is one of the best if not the best.3) The screen with 120hz feels so smooth. It’s just a different experience. Androids with similar refresh don’t feel so smooth because they are poorly optimised.Cons:1) The price. Got the 512GB pro max for 1.55 lac. and that is not at all value for the amount of money you spend. With no charger!2) Software wise, the notifications are really bad. Android compiles notifications much better. Also, it’s really tricky to transfer Whatsapp and other stuff from an Android.",Reviewed in India 🇮🇳 on 7 June 2022,Best Battery. Best Camera. Very smooth. But not value for money.,4,,66,,
R31B03RBKDYWON,Chitralekha Shriyan,Mobile,Reviewed in India 🇮🇳 on 26 August 2022,Expensive,4,,15,,
R32PON51Q9W8HS,Dhruv,Great product with best battery life a phone can have. Original product came without any damages.,Reviewed in India 🇮🇳 on 6 September 2022,Amazing Phone,5,,2,,
